seed,temperature_c,event_index,polarity,m_ff,calibration,alarm_a18,alarm_b18,alarm_a19,alarm_b19,sticky_a18,sticky_b18,sticky_a19,sticky_b19,before_a18_rise,before_a18_fall,before_b18_rise,before_b18_fall,before_a19_rise,before_a19_fall,before_b19_rise,before_b19_fall,after_a18_rise,after_a18_fall,after_b18_rise,after_b18_fall,after_a19_rise,after_a19_fall,after_b19_rise,after_b19_fall,lock_a18,lock_b18,lock_a19,lock_b19,event_count
41003,125,-1,0,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,159,0,159,0,159,0,0,0,0,0,163
41003,125,-1,1,135,1,0,0,0,0,0,0,0,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,0,0,0,0,164
41003,125,-1,1,110,1,0,0,0,0,0,0,0,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,0,0,0,0,165
41003,125,-1,1,135,1,0,0,0,0,0,0,0,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,0,0,0,0,166
41003,125,-1,1,135,1,0,0,0,0,0,0,0,0,159,0,159,0,159,0,159,0,159,128,159,128,159,128,159,128,1,1,1,1,167
41003,125,0,0,204,0,1,1,1,1,0,0,0,0,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,168
41003,125,1,1,159,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,169
41003,125,2,0,204,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,170
41003,125,3,1,159,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,171
41003,125,4,0,204,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,172
41003,125,5,1,159,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,173
41003,125,6,0,182,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,174
41003,125,7,1,159,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,175
41003,125,8,0,182,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,176
41003,125,9,1,159,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,177
41003,125,10,0,204,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,178
41003,125,11,1,159,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,179
41003,125,12,0,182,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,180
