policy,t_pos_rise,delta_r,healthy_positive_false_alarms,d01_coverage,d02_coverage,d04_coverage,d01_min_signed_headroom,d02_min_signed_headroom,d04_min_signed_headroom,effective_threshold_min,effective_threshold_max,safe_combined_criterion
A_TRACK_SOURCE,18,58,0,0/30,0/30,0/30,-56,-35,-56,18,18,0
A_TRACK_SOURCE,18,59,0,0/30,0/30,0/30,-57,-36,-57,18,18,0
A_TRACK_SOURCE,18,60,0,0/30,0/30,0/30,-58,-37,-58,18,18,0
A_TRACK_SOURCE,18,61,0,0/30,0/30,0/30,-59,-38,-59,18,18,0
A_TRACK_SOURCE,18,62,0,0/30,0/30,0/30,-60,-39,-60,18,18,0
A_TRACK_SOURCE,18,63,0,0/30,0/30,0/30,-61,-40,-61,18,18,0
A_TRACK_SOURCE,18,64,0,0/30,0/30,0/30,-62,-41,-62,18,18,0
A_TRACK_SOURCE,18,65,0,0/30,0/30,0/30,-63,-42,-63,18,18,0
A_TRACK_SOURCE,18,66,0,0/30,0/30,0/30,-64,-43,-64,18,18,0
A_TRACK_SOURCE,18,67,0,0/30,0/30,0/30,-65,-44,-65,18,18,0
A_TRACK_SOURCE,18,68,0,0/30,0/30,0/30,-66,-45,-66,18,18,0
A_TRACK_SOURCE,18,69,0,0/30,0/30,0/30,-67,-46,-67,18,18,0
A_TRACK_SOURCE,18,70,0,0/30,0/30,0/30,-68,-47,-68,18,18,0
A_TRACK_SOURCE,18,71,0,0/30,0/30,0/30,-69,-48,-69,18,18,0
A_TRACK_SOURCE,18,72,0,0/30,0/30,0/30,-70,-49,-70,18,18,0
A_TRACK_SOURCE,18,73,0,0/30,0/30,0/30,-71,-50,-71,18,18,0
A_TRACK_SOURCE,18,74,0,0/30,0/30,0/30,-72,-51,-72,18,18,0
A_TRACK_SOURCE,18,75,0,0/30,0/30,0/30,-73,-52,-73,18,18,0
A_TRACK_SOURCE,18,76,0,0/30,0/30,0/30,-74,-53,-74,18,18,0
