vdd_v,tap_index,rvt_cross_s,lvt_cross_s,delta_signed_ps,xor_width_proxy_ps,lead_path
1,3,1.156349708e-09,1.057192331e-09,99.157377,99.157377,LVT
1,4,1.180287342e-09,1.072175549e-09,108.111793,108.111793,LVT
1,5,1.204271646e-09,1.08726375e-09,117.007896,117.007896,LVT
1,6,1.228216928e-09,1.102244142e-09,125.972786,125.972786,LVT
1,7,1.252088232e-09,1.117253479e-09,134.834753,134.834753,LVT
1,8,1.276006458e-09,1.132328949e-09,143.677509,143.677509,LVT
1,9,1.299949202e-09,1.147320032e-09,152.62917,152.62917,LVT
1,10,1.323967073e-09,1.162379614e-09,161.587459,161.587459,LVT
1,11,1.347881304e-09,1.177393831e-09,170.487473,170.487473,LVT
1,12,1.37186917e-09,1.192359897e-09,179.509273,179.509273,LVT
1,13,1.395801697e-09,1.20729755e-09,188.504147,188.504147,LVT
1,14,1.419743226e-09,1.222289442e-09,197.453784,197.453784,LVT
1,15,1.443706922e-09,1.237360467e-09,206.346455,206.346455,LVT
1,16,1.467753962e-09,1.25233087e-09,215.423092,215.423092,LVT
1,17,1.491648187e-09,1.267335499e-09,224.312688,224.312688,LVT
1,18,1.515625377e-09,1.28243142e-09,233.193957,233.193957,LVT
1,19,1.539566871e-09,1.297371897e-09,242.194974,242.194974,LVT
1,20,1.563489287e-09,1.312362929e-09,251.126358,251.126358,LVT
1,21,1.587447213e-09,1.327436244e-09,260.010969,260.010969,LVT
1,22,1.611423583e-09,1.342427134e-09,268.996449,268.996449,LVT
1,23,1.635341319e-09,1.357472776e-09,277.868543,277.868543,LVT
1,24,1.659209361e-09,1.37252097e-09,286.688391,286.688391,LVT
1,25,1.683191712e-09,1.387508372e-09,295.68334,295.68334,LVT
1,26,1.70713827e-09,1.402589974e-09,304.548296,304.548296,LVT
1,27,1.731116997e-09,1.417552859e-09,313.564138,313.564138,LVT
1,28,1.755015621e-09,1.43254277e-09,322.472851,322.472851,LVT
1,29,1.777246189e-09,1.446209456e-09,331.036733,331.036733,LVT
0.99,0,1.086409204e-09,1.012020543e-09,74.388661,74.388661,LVT
0.99,1,1.110830167e-09,1.027351647e-09,83.47852,83.47852,LVT
0.99,2,1.135384378e-09,1.042683296e-09,92.701082,92.701082,LVT
0.99,3,1.159924879e-09,1.058007155e-09,101.917724,101.917724,LVT
0.99,4,1.184472246e-09,1.073276553e-09,111.195693,111.195693,LVT
0.99,5,1.209052269e-09,1.088661151e-09,120.391118,120.391118,LVT
0.99,6,1.233569432e-09,1.103908912e-09,129.66052,129.66052,LVT
0.99,7,1.258042137e-09,1.119201495e-09,138.840642,138.840642,LVT
0.99,8,1.282629095e-09,1.134576215e-09,148.05288,148.05288,LVT
0.99,9,1.307122577e-09,1.149856577e-09,157.266,157.266,LVT
0.99,10,1.331706681e-09,1.165195996e-09,166.510685,166.510685,LVT
0.99,11,1.356327842e-09,1.180493143e-09,175.834699,175.834699,LVT
0.99,12,1.380795424e-09,1.195758784e-09,185.03664,185.03664,LVT
0.99,13,1.405372041e-09,1.211132038e-09,194.240003,194.240003,LVT
0.99,14,1.429936297e-09,1.22639511e-09,203.541187,203.541187,LVT
0.99,15,1.454473517e-09,1.241693119e-09,212.780398,212.780398,LVT
0.99,16,1.479070927e-09,1.256933907e-09,222.13702,222.13702,LVT
0.99,17,1.503660517e-09,1.272224039e-09,231.436478,231.436478,LVT
0.99,18,1.528284122e-09,1.287574777e-09,240.709345,240.709345,LVT
0.99,19,1.552832297e-09,1.302785429e-09,250.046868,250.046868,LVT
0.99,20,1.577424834e-09,1.318160753e-09,259.264081,259.264081,LVT
0.99,21,1.601955536e-09,1.333531756e-09,268.42378,268.42378,LVT
0.99,22,1.626504548e-09,1.34878448e-09,277.720068,277.720068,LVT
0.99,23,1.651078464e-09,1.364125232e-09,286.953232,286.953232,LVT
0.99,24,1.675719138e-09,1.37944834e-09,296.270798,296.270798,LVT
0.99,25,1.700038577e-09,1.394732268e-09,305.306309,305.306309,LVT
0.99,26,1.724542101e-09,1.41008025e-09,314.461851,314.461851,LVT
0.99,27,1.749115963e-09,1.425298466e-09,323.817497,323.817497,LVT
0.99,28,1.773671692e-09,1.440503316e-09,333.168376,333.168376,LVT
0.99,29,1.796808945e-09,1.454369683e-09,342.439262,342.439262,LVT
0.98,0,1.088647954e-09,1.012218509e-09,76.429445,76.429445,LVT
0.98,1,1.113798172e-09,1.027851136e-09,85.947036,85.947036,LVT
