scenario,operation_index,operation_type,M_before,M_after,F_before,F_after,probe_kind,reachable,formal_gate,legacy_evidence_key,reason,counted_operation,operation,phase,probe_index,changed_thermometer_bits,reset_asserted,reset_release_timing,sclk_low,configuration_edge_s,settle_s,configuration_ck_edge_count,code_constant_during_probe,intended_active_ck_edge_count,q_sample_count,q_samples_same_rail,recovery_guard_s
0p80_normal,27,coarse_increment,8,9,0,0,,True,True,transition:0p80_normal:coarse_increment:8:9:0:0,replayed_frozen_protocol,True,config_update,coarse_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p80_normal,28,coarse_probe_a,9,9,0,0,coarse_probe_a,True,True,probe:0p80_normal:18,replayed_frozen_protocol,True,compare_probe,coarse_probe_a,18,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p80_normal,29,coarse_probe_b,9,9,0,0,coarse_probe_b,True,True,probe:0p80_normal:19,replayed_frozen_protocol,True,compare_probe,coarse_probe_b,19,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p80_normal,30,coarse_backoff_step_1,9,8,0,0,,True,True,transition:0p80_normal:coarse_backoff_step:9:8:0:0,replayed_frozen_protocol,True,config_update,coarse_backoff_step_1,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p80_normal,31,coarse_backoff_step_2,8,7,0,0,,True,True,,replayed_frozen_protocol,True,config_update,coarse_backoff_step_2,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p80_normal,32,fine_probe,7,7,0,0,fine_probe,True,True,probe:0p80_normal:24,replayed_frozen_protocol,True,compare_probe,fine_probe,24,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p80_normal,33,fine_increment,7,7,0,1,,True,True,transition:0p80_normal:fine_increment:7:7:0:1,replayed_frozen_protocol,True,config_update,fine_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p80_normal,34,fine_probe,7,7,1,1,fine_probe,True,True,probe:0p80_normal:26,replayed_frozen_protocol,True,compare_probe,fine_probe,26,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p80_normal,35,fine_increment,7,7,1,2,,True,True,transition:0p80_normal:fine_increment:7:7:1:2,replayed_frozen_protocol,True,config_update,fine_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p80_normal,36,fine_probe,7,7,2,2,fine_probe,True,True,probe:0p80_normal:28,replayed_frozen_protocol,True,compare_probe,fine_probe,28,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p80_normal,37,fine_increment,7,7,2,3,,True,True,transition:0p80_normal:fine_increment:7:7:2:3,replayed_frozen_protocol,True,config_update,fine_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p80_normal,38,fine_probe,7,7,3,3,fine_probe,True,True,probe:0p80_normal:30,replayed_frozen_protocol,True,compare_probe,fine_probe,30,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p80_normal,39,fine_increment,7,7,3,4,,True,True,transition:0p80_normal:fine_increment:7:7:3:4,replayed_frozen_protocol,True,config_update,fine_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p80_normal,40,fine_probe,7,7,4,4,fine_probe,True,True,probe:0p80_normal:32,replayed_frozen_protocol,True,compare_probe,fine_probe,32,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p80_normal,41,fine_increment,7,7,4,5,,True,True,transition:0p80_normal:fine_increment:7:7:4:5,replayed_frozen_protocol,True,config_update,fine_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p80_normal,42,fine_probe,7,7,5,5,fine_probe,True,True,probe:0p80_normal:34,replayed_frozen_protocol,True,compare_probe,fine_probe,34,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p80_normal,43,fine_increment,7,7,5,6,,True,True,transition:0p80_normal:fine_increment:7:7:5:6,frozen_guard_code_update,True,config_update,fine_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p80_normal,44,guard_probe,7,7,6,6,guard_probe,True,True,probe:0p80_normal:36,replayed_frozen_protocol,True,compare_probe,guard_probe,36,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p80_normal,45,lock_hold_probe,7,7,6,6,lock_hold_probe,True,True,probe:0p80_normal:37,replayed_frozen_protocol,True,lock_hold_probe,lock_hold_probe,37,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p95_normal,1,coarse_probe_a,0,0,0,0,coarse_probe_a,True,True,probe:0p95_normal:0,replayed_frozen_protocol,True,compare_probe,coarse_probe_a,0,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
