episode_id,transition_index,old_M,new_M,update_time_s,quiet_window_start_s,quiet_window_end_s,quiet_xor_v,quiet_medium_v,quiet_ck_v,configuration_ck_edge_count,status,reason
E08,142,8,7,1.7990000000000023e-07,1.7991000000000024e-07,1.865400000000004e-07,3.050176529e-05,0.003580599426,6.550035385e-06,0,PASS,
E08,143,7,6,1.7991000000000024e-07,1.7992000000000025e-07,1.865400000000004e-07,3.050176529e-05,0.003580599426,6.550035385e-06,0,PASS,
E08,144,6,5,1.7992000000000025e-07,1.7993000000000026e-07,1.865400000000004e-07,3.050176529e-05,0.003580599426,6.550035385e-06,0,PASS,
E08,145,5,4,1.7993000000000026e-07,1.7994000000000027e-07,1.865400000000004e-07,3.050176529e-05,0.003580599426,6.550035385e-06,0,PASS,
E08,146,4,3,1.7994000000000027e-07,1.7995000000000028e-07,1.865400000000004e-07,3.050176529e-05,0.003580599426,6.550035385e-06,0,PASS,
E08,147,3,2,1.7995000000000028e-07,1.799600000000003e-07,1.865400000000004e-07,3.050176529e-05,0.003580599426,6.550035385e-06,0,PASS,
E08,148,2,1,1.799600000000003e-07,1.799700000000003e-07,1.865400000000004e-07,3.050176529e-05,0.003580599426,6.550035385e-06,0,PASS,
E08,149,1,0,1.799700000000003e-07,1.7998000000000032e-07,1.865400000000004e-07,3.050176529e-05,0.003580599426,6.550035385e-06,0,PASS,
E09,150,0,1,1.8498000000000032e-07,1.8499000000000033e-07,1.865400000000004e-07,2.612252756e-05,0.0002830482028,3.956150005e-06,0,PASS,
E09,151,1,2,1.8499000000000033e-07,1.8500000000000035e-07,1.865400000000004e-07,1.679743872e-05,0.0002830482028,3.956150005e-06,0,PASS,
E09,152,2,3,1.8500000000000035e-07,1.8501000000000036e-07,1.865400000000004e-07,8.438714716e-07,0.0002590949248,8.049594335e-07,0,PASS,
E09,153,3,4,1.8501000000000036e-07,1.8502000000000037e-07,1.865400000000004e-07,8.438714716e-07,0.000118851084,2.252813724e-07,0,PASS,
E09,154,4,5,1.8502000000000037e-07,1.8503000000000038e-07,1.865400000000004e-07,8.438714716e-07,5.621550733e-05,2.252813724e-07,0,PASS,
E09,155,5,6,1.8503000000000038e-07,1.850400000000004e-07,1.865400000000004e-07,8.438714716e-07,2.707354676e-05,2.252813724e-07,0,PASS,
E09,156,6,7,1.850400000000004e-07,1.850500000000004e-07,1.865400000000004e-07,8.411437835e-07,1.321847313e-05,2.252813724e-07,0,PASS,
E09,157,7,8,1.927400000000004e-07,1.927500000000004e-07,1.947500000000004e-07,-6.3728815e-07,5.497077074e-07,2.038160188e-07,0,PASS,
E09,158,8,7,2.0046000000000038e-07,2.004700000000004e-07,2.0712000000000057e-07,2.933186444e-05,0.003580621441,1.507185191e-05,0,PASS,
E09,159,7,6,2.004700000000004e-07,2.004800000000004e-07,2.0712000000000057e-07,2.933186444e-05,0.003580621441,1.032594495e-05,0,PASS,
E09,160,6,5,2.004800000000004e-07,2.0049000000000041e-07,2.0712000000000057e-07,2.933186444e-05,0.003580621441,7.837386421e-06,0,PASS,
E09,161,5,4,2.0049000000000041e-07,2.0050000000000043e-07,2.0712000000000057e-07,2.933186444e-05,0.003580621441,7.837386421e-06,0,PASS,
E09,162,4,3,2.0050000000000043e-07,2.0051000000000044e-07,2.0712000000000057e-07,2.933186444e-05,0.003580621441,7.837386421e-06,0,PASS,
E09,163,3,2,2.0051000000000044e-07,2.0052000000000045e-07,2.0712000000000057e-07,2.933186444e-05,0.003580621441,7.837386421e-06,0,PASS,
E09,164,2,1,2.0052000000000045e-07,2.0053000000000046e-07,2.0712000000000057e-07,2.933186444e-05,0.003580621441,7.837386421e-06,0,PASS,
E09,165,1,0,2.0053000000000046e-07,2.0054000000000047e-07,2.0712000000000057e-07,2.933186444e-05,0.003580621441,7.837386421e-06,0,PASS,
E10,166,0,1,2.0554000000000048e-07,2.055500000000005e-07,2.0712000000000057e-07,2.405434566e-05,0.0002830485183,3.925081676e-06,0,PASS,
E10,167,1,2,2.055500000000005e-07,2.055600000000005e-07,2.0712000000000057e-07,1.511903598e-05,0.0002830485183,3.925081676e-06,0,PASS,
E10,168,2,3,2.055600000000005e-07,2.055700000000005e-07,2.0712000000000057e-07,8.308461772e-07,0.000259095135,7.786252059e-07,0,PASS,
E10,169,3,4,2.055700000000005e-07,2.0558000000000052e-07,2.0712000000000057e-07,8.308461772e-07,0.0001188511135,2.124859182e-07,0,PASS,
E10,170,4,5,2.0558000000000052e-07,2.0559000000000053e-07,2.0712000000000057e-07,8.308461772e-07,5.621552979e-05,2.124859182e-07,0,PASS,
E10,171,5,6,2.0559000000000053e-07,2.0560000000000054e-07,2.0712000000000057e-07,8.308461772e-07,2.70735515e-05,2.124859182e-07,0,PASS,
E10,172,6,7,2.0560000000000054e-07,2.0561000000000056e-07,2.0712000000000057e-07,8.308461772e-07,1.321847313e-05,2.124859182e-07,0,PASS,
E10,173,7,8,2.0561000000000056e-07,2.0562000000000057e-07,2.0712000000000057e-07,8.308461772e-07,6.665597448e-06,2.124859182e-07,0,PASS,
E10,174,8,9,2.0562000000000057e-07,2.0563000000000058e-07,2.0712000000000057e-07,8.308461772e-07,3.561596345e-06,2.124859182e-07,0,PASS,
E10,175,9,8,2.1332000000000056e-07,2.1333000000000057e-07,2.1533000000000057e-07,-6.367298136e-07,9.011702678e-07,2.402927755e-06,0,PASS,
E10,176,8,7,2.2104000000000056e-07,2.2105000000000057e-07,2.2769000000000074e-07,2.967126694e-05,0.003580661998,6.631395402e-06,0,PASS,
E10,177,7,6,2.2105000000000057e-07,2.2106000000000058e-07,2.2769000000000074e-07,2.967126694e-05,0.003580661998,6.631395402e-06,0,PASS,
E10,178,6,5,2.2106000000000058e-07,2.210700000000006e-07,2.2769000000000074e-07,2.967126694e-05,0.003580661998,6.631395402e-06,0,PASS,
