episode_id,condition,probe_index,node,rise50_s,fall50_s,quiet_max_v,quiet_min_v,valid,reason
E09,pred7_arm_0p0ns_pad_0p51ns_pre,18,nd,1.886569923e-07,1.878856982e-07,0.8264891661,-0.05068622904,1,
E09,pred7_arm_0p0ns_pad_0p51ns_pre,18,nm,1.894652358e-07,1.879072442e-07,0.8236114738,-0.02516742654,1,
E09,pred7_arm_0p0ns_pad_0p51ns_pre,18,m,1.879556579e-07,1.89504007e-07,0.8102948703,-0.02730026273,1,
E09,pred7_arm_0p0ns_pad_0p51ns_pre,18,s,1.88679484e-07,1.895538134e-07,0.8245218024,-0.02596809119,1,
E09,pred7_arm_0p0ns_pad_0p51ns_pre,18,ns,1.895856542e-07,1.887238829e-07,0.8338095755,-0.001351305834,1,
E09,pred7_arm_0p0ns_pad_0p51ns,19,nclk,1.971949101e-07,1.964120959e-07,0.8138646062,-0.009867566759,1,
E09,pred7_arm_0p0ns_pad_0p51ns,19,bclk,1.964449901e-07,1.972306823e-07,0.822403767,-0.007648504129,1,
E09,pred7_arm_0p0ns_pad_0p51ns,19,nd,1.963823482e-07,1.956061108e-07,0.8264072429,-0.02975010986,1,
E09,pred7_arm_0p0ns_pad_0p51ns,19,nm,1.964182588e-07,1.956276633e-07,0.8239130537,-0.0273671601,1,
E09,pred7_arm_0p0ns_pad_0p51ns,19,m,1.956758812e-07,1.972726446e-07,0.8792071452,-0.02707028199,1,
E09,pred7_arm_0p0ns_pad_0p51ns,19,s,1.96662807e-07,1.972721401e-07,0.8257568797,-0.02229334596,1,
E09,pred7_arm_0p0ns_pad_0p51ns,19,ns,1.973032233e-07,1.967289747e-07,0.8155289539,-0.00133938833,1,
E10,pred9_arm_0p0ns_pad_0p51ns_pre,20,nclk,2.101272362e-07,2.093364344e-07,0.8649172727,-0.009890752182,1,
E10,pred9_arm_0p0ns_pad_0p51ns_pre,20,bclk,2.093714959e-07,2.101639099e-07,0.8367489753,-0.0375138551,1,
E10,pred9_arm_0p0ns_pad_0p51ns_pre,20,nd,2.092450046e-07,2.084656168e-07,0.8264213118,-0.02749243107,1,
E10,pred9_arm_0p0ns_pad_0p51ns_pre,20,nm,2.09265683e-07,2.084871899e-07,0.8418700273,-0.0256519577,1,
E10,pred9_arm_0p0ns_pad_0p51ns_pre,20,m,2.085355733e-07,2.09308171e-07,0.8238864156,-0.02756624087,1,
E10,pred9_arm_0p0ns_pad_0p51ns_pre,20,s,2.302626664e-07,2.307022452e-07,0.02978275096,-0.03673631898,1,
E10,pred9_arm_0p0ns_pad_0p51ns_pre,20,ns,2.307332639e-07,2.303355956e-07,0.8055173832,0.7991892558,1,
E10,pred9_arm_0p0ns_pad_0p51ns,21,nclk,2.17773699e-07,2.169926094e-07,0.8138363754,-0.008854313475,1,
E10,pred9_arm_0p0ns_pad_0p51ns,21,bclk,2.17025466e-07,2.178094099e-07,0.8165359264,-0.00759003398,1,
E10,pred9_arm_0p0ns_pad_0p51ns,21,nd,2.169619523e-07,2.16186171e-07,0.8261540584,-0.0328262795,1,
E10,pred9_arm_0p0ns_pad_0p51ns,21,nm,2.169970279e-07,2.162077534e-07,0.8238670006,-0.03084104654,1,
E10,pred9_arm_0p0ns_pad_0p51ns,21,m,2.162559516e-07,2.171038147e-07,0.8104570697,-0.02751825652,1,
E10,pred9_arm_0p0ns_pad_0p51ns,21,s,2.302626664e-07,2.307022452e-07,0.3586543038,-0.02270374041,1,
E10,pred9_arm_0p0ns_pad_0p51ns,21,ns,2.307332639e-07,2.303355956e-07,0.8143567405,0.7164591139,1,
E11,pred8_arm_0p0ns_pad_0p51ns_pre,22,nclk,2.306225692e-07,2.298420012e-07,0.8138464656,-0.01328373175,1,
E11,pred8_arm_0p0ns_pad_0p51ns_pre,22,bclk,2.298749192e-07,2.306579967e-07,0.8310887112,-0.007642198374,1,
E11,pred8_arm_0p0ns_pad_0p51ns_pre,22,nd,2.298114997e-07,2.290357196e-07,0.8265386035,-0.03208712357,1,
E11,pred8_arm_0p0ns_pad_0p51ns_pre,22,nm,2.298470739e-07,2.290573127e-07,0.8237612734,-0.03105205517,1,
E11,pred8_arm_0p0ns_pad_0p51ns_pre,22,m,2.29105691e-07,2.307017826e-07,0.8715544273,-0.02747454284,1,
E11,pred8_arm_0p0ns_pad_0p51ns_pre,22,s,2.302626664e-07,2.307022452e-07,0.8295982217,-0.02053148997,1,
E11,pred8_arm_0p0ns_pad_0p51ns_pre,22,ns,2.307332639e-07,2.303355956e-07,0.8147172572,-0.001593064202,1,
E11,pred8_arm_0p0ns_pad_0p51ns,23,nclk,2.383320726e-07,2.375532346e-07,0.8138436835,-0.01344781287,1,
E11,pred8_arm_0p0ns_pad_0p51ns,23,bclk,2.375861436e-07,2.383672896e-07,0.8340438206,-0.00760799953,1,
E11,pred8_arm_0p0ns_pad_0p51ns,23,nd,2.375224238e-07,2.367467284e-07,0.8264596876,-0.03168852022,1,
E11,pred8_arm_0p0ns_pad_0p51ns,23,nm,2.375580716e-07,2.367682693e-07,0.8230575828,-0.03081702792,1,
E11,pred8_arm_0p0ns_pad_0p51ns,23,m,2.368164836e-07,2.377020975e-07,0.8737120784,-0.02735895411,1,
E11,pred8_arm_0p0ns_pad_0p51ns,23,s,2.380595311e-07,2.384124897e-07,0.8292039266,-0.02228628268,1,
E11,pred8_arm_0p0ns_pad_0p51ns,23,ns,2.384436176e-07,2.381349405e-07,0.8145597534,-0.001663123257,1,
E12,pred7_arm_0p48999999999999994ns_pad_0p51ns_pre,24,nclk,2.511018866e-07,2.503192501e-07,0.8138333786,-0.01351316763,1,
E12,pred7_arm_0p48999999999999994ns_pad_0p51ns_pre,24,bclk,2.503540467e-07,2.511357389e-07,0.8295514973,-0.03174792774,1,
E12,pred7_arm_0p48999999999999994ns_pad_0p51ns_pre,24,nd,2.503573473e-07,2.495856982e-07,0.8264891661,-0.05365537236,1,
E12,pred7_arm_0p48999999999999994ns_pad_0p51ns_pre,24,nm,2.511626907e-07,2.496072442e-07,0.8236114738,-0.02533316879,1,
E12,pred7_arm_0p48999999999999994ns_pad_0p51ns_pre,24,m,2.496556579e-07,2.51202515e-07,0.8137232045,-0.02730026293,1,
E12,pred7_arm_0p48999999999999994ns_pad_0p51ns_pre,24,s,2.503798379e-07,2.512537899e-07,0.8263022767,-0.02648871335,1,
E12,pred7_arm_0p48999999999999994ns_pad_0p51ns_pre,24,ns,2.512856316e-07,2.504242008e-07,0.8333438465,-0.001743506236,1,
E12,pred7_arm_0p48999999999999994ns_pad_0p51ns,25,nclk,2.593824725e-07,2.586026436e-07,0.8138835791,-0.01280161652,1,
E12,pred7_arm_0p48999999999999994ns_pad_0p51ns,25,bclk,2.586355473e-07,2.594175677e-07,0.8228623152,-0.007590875339,1,
E12,pred7_arm_0p48999999999999994ns_pad_0p51ns,25,nd,2.585716696e-07,2.577961097e-07,0.8265662859,-0.03207790656,1,
E12,pred7_arm_0p48999999999999994ns_pad_0p51ns,25,nm,2.586069957e-07,2.578176277e-07,0.8234455843,-0.03062010445,1,
E12,pred7_arm_0p48999999999999994ns_pad_0p51ns,25,m,2.578660256e-07,2.587112394e-07,0.8095162195,-0.02744953708,1,
E12,pred7_arm_0p48999999999999994ns_pad_0p51ns,25,s,2.800566011e-07,2.805322796e-07,0.3476479936,-0.02035252531,1,
E12,pred7_arm_0p48999999999999994ns_pad_0p51ns,25,ns,2.805632833e-07,2.801282374e-07,0.8143384338,0.7399660487,1,
E13,pred9_arm_0p48999999999999994ns_pad_0p51ns_pre,26,nclk,2.723153215e-07,2.715262893e-07,0.8650037621,-0.01530852398,1,
E13,pred9_arm_0p48999999999999994ns_pad_0p51ns_pre,26,bclk,2.715613442e-07,2.723516518e-07,0.8420028377,-0.03713132928,1,
E13,pred9_arm_0p48999999999999994ns_pad_0p51ns_pre,26,nd,2.714345029e-07,2.706559125e-07,0.8262246867,-0.02527125162,1,
E13,pred9_arm_0p48999999999999994ns_pad_0p51ns_pre,26,nm,2.714552854e-07,2.706774813e-07,0.845975403,-0.02498789612,1,
E13,pred9_arm_0p48999999999999994ns_pad_0p51ns_pre,26,m,2.707258795e-07,2.714977943e-07,0.8242409002,-0.02757498072,1,
E13,pred9_arm_0p48999999999999994ns_pad_0p51ns_pre,26,s,2.800566011e-07,2.805322796e-07,0.03250853579,-0.03672797534,1,
E13,pred9_arm_0p48999999999999994ns_pad_0p51ns_pre,26,ns,2.805632833e-07,2.801282374e-07,0.806022531,0.7991943226,1,
E13,pred9_arm_0p48999999999999994ns_pad_0p51ns,27,nclk,2.804534302e-07,2.796725905e-07,0.8138415445,-0.01231312238,1,
E13,pred9_arm_0p48999999999999994ns_pad_0p51ns,27,bclk,2.797054729e-07,2.804877641e-07,0.819894078,-0.00759823333,1,
E13,pred9_arm_0p48999999999999994ns_pad_0p51ns,27,nd,2.796420862e-07,2.788658529e-07,0.8265443704,-0.03082086691,1,
E13,pred9_arm_0p48999999999999994ns_pad_0p51ns,27,nm,2.796777457e-07,2.788873847e-07,0.8239146094,-0.03079540487,1,
E13,pred9_arm_0p48999999999999994ns_pad_0p51ns,27,m,2.789357706e-07,2.805318225e-07,0.8690499071,-0.02759719458,1,
E13,pred9_arm_0p48999999999999994ns_pad_0p51ns,27,s,2.800566011e-07,2.805322796e-07,0.8256425317,-0.02085072321,1,
E13,pred9_arm_0p48999999999999994ns_pad_0p51ns,27,ns,2.805632833e-07,2.801282374e-07,0.8147833167,-0.001903756551,1,
E14,pred8_arm_0p48999999999999994ns_pad_0p51ns_pre,28,nclk,2.933037785e-07,2.925220303e-07,0.8138012403,-0.01157784614,1,
E14,pred8_arm_0p48999999999999994ns_pad_0p51ns_pre,28,bclk,2.925549126e-07,2.93339635e-07,0.8329437493,-0.007642325937,1,
