scenario,probe_index,protocol_phase,medium_code,fine_code,node,sclk_fall_s,return_rise10_s,return_fall10_s,return_settle_ps,second_rise10_s,second_rise_present,recovery_end_v,recovery_tail_max_v,recovery_tail_min_v,valid,reason
recovery_v4_diagnostic_0p80,29,fine_m7_repeat,7,2,xor_29,2.741500000000004e-07,2.749743127e-07,2.75736662e-07,1586.661999999647,2.819255034e-07,False,-1.124587782e-06,-6.089482808e-07,-1.124587782e-06,1,
recovery_v4_diagnostic_0p80,29,fine_m7_repeat,7,2,medium_out,2.741500000000004e-07,2.755660094e-07,2.763095938e-07,2159.59379999961,2.825086922e-07,False,1.57459666e-07,2.473427506e-07,1.57459666e-07,1,
recovery_v4_diagnostic_0p80,29,fine_m7_repeat,7,2,dff_ck,2.741500000000004e-07,2.75614025e-07,2.764976519e-07,2347.6518999996315,2.825574342e-07,False,-8.478581194e-06,-3.742756833e-06,-8.478581194e-06,1,
recovery_v4_diagnostic_0p80,30,fine_m7_scan,7,3,xor_29,2.8416000000000045e-07,2.849850534e-07,2.857462161e-07,1586.216099999533,2.904255594e-07,False,-6.254080919e-07,-6.254080919e-07,-8.046173846e-07,1,
recovery_v4_diagnostic_0p80,30,fine_m7_scan,7,3,medium_out,2.8416000000000045e-07,2.855762343e-07,2.863191852e-07,2159.185199999536,2.910089578e-07,False,8.875514971e-07,8.875514971e-07,8.486956481e-07,1,
recovery_v4_diagnostic_0p80,30,fine_m7_scan,7,3,dff_ck,2.8416000000000045e-07,2.856248207e-07,2.865186651e-07,2358.665099999549,2.910575908e-07,False,-6.299967319e-07,1.298739303e-07,-6.299967319e-07,1,
recovery_v4_diagnostic_0p80,31,fine_m7_repeat,7,3,xor_29,2.926600000000005e-07,2.934835418e-07,2.942463127e-07,1586.312699999481,3.004358862e-07,False,-1.526187522e-06,-7.412278267e-08,-1.526187522e-06,1,
recovery_v4_diagnostic_0p80,31,fine_m7_repeat,7,3,medium_out,2.926600000000005e-07,2.94075899e-07,2.948189895e-07,2158.9894999994717,3.010192097e-07,False,8.524121828e-07,9.019377446e-07,8.524121828e-07,1,
recovery_v4_diagnostic_0p80,31,fine_m7_repeat,7,3,dff_ck,2.926600000000005e-07,2.941242415e-07,2.950188982e-07,2358.898199999516,3.010684741e-07,False,4.244443591e-06,4.244443591e-06,-6.419131546e-06,1,
recovery_v4_diagnostic_0p80,32,fine_m7_scan,7,4,xor_29,3.026700000000006e-07,3.034938918e-07,3.042556515e-07,1585.6514999994224,3.089356354e-07,False,-1.424356288e-06,-6.379507245e-07,-1.424356288e-06,1,
recovery_v4_diagnostic_0p80,32,fine_m7_scan,7,4,medium_out,3.026700000000006e-07,3.040854386e-07,3.048279829e-07,2157.9828999993993,3.09518861e-07,False,8.715774951e-07,9.056081693e-07,8.715774951e-07,1,
recovery_v4_diagnostic_0p80,32,fine_m7_scan,7,4,dff_ck,3.026700000000006e-07,3.041347604e-07,3.050374824e-07,2367.48239999941,3.095681446e-07,False,4.781139884e-06,4.781139884e-06,-1.133675651e-06,1,
recovery_v4_diagnostic_0p80,33,fine_m7_repeat,7,4,xor_29,3.1117000000000064e-07,3.119936925e-07,3.12756149e-07,1586.1489999993744,3.189456301e-07,False,5.961901294e-07,5.961901294e-07,4.37259084e-07,1,
