episode_id,kind,condition,predecessor_M,M,F,reset_release_s,reset_arm_s,timeline_pad_s,launch_time_s,q_read_time_s,measured_reset_release50_s,measured_sclk_launch50_s,measured_reset_arm_s,q_read_v,q_read_late_v,Q_logic,Q_late_logic,xor_rise50_s,medium_rise50_s,ck_rise50_s,D_medium_ps,D_fine_ps,D_total_ps,W_xor_ps,hold_margin_ps,active_window_start_s,active_window_end_s,extra_ck_edge,valid,reason
E16,predecessor,pred9_arm_1p0ns_pad_0p51ns_pre,9,9,0,3.33000000000002e-07,4.9e-10,0.0,3.33490000000002e-07,3.3579000000000203e-07,3.33e-07,3.3349e-07,4.900000000000262e-10,1.656946852e-07,0.0004003612207,0,0,3.342920465e-07,3.349816391e-07,3.351093618e-07,689.5925999999611,127.72270000002862,817.3152999999896,785.3498999999941,-31.965399999995498,3.33490000000002e-07,3.3599000000000204e-07,False,1,
E16,target,pred9_arm_1p0ns_pad_0p51ns,9,8,0,3.4121000000000203e-07,1e-09,5.1e-10,3.4221000000000206e-07,3.4451000000000207e-07,3.4121e-07,3.4221e-07,9.999999999999692e-10,0.8000001208,0.800435763,1,1,3.430125502e-07,3.436353863e-07,3.437630007e-07,622.8361000000007,127.61440000004869,750.4505000000494,784.4839000000292,34.03339999997979,3.4221000000000206e-07,3.447100000000021e-07,False,1,
E17,predecessor,pred8_arm_1p0ns_pad_0p51ns_pre,8,8,0,3.5457000000000225e-07,4.9e-10,0.0,3.550600000000023e-07,3.573600000000023e-07,3.5457e-07,3.5506e-07,4.900000000000262e-10,0.8000000215,0.800526545,1,1,3.558618301e-07,3.564841345e-07,3.5661202e-07,622.3043999999884,127.8854999999945,750.1898999999829,785.2588000000131,35.068900000030226,3.550600000000023e-07,3.575600000000023e-07,False,1,
E17,target,pred8_arm_1p0ns_pad_0p51ns,8,8,0,3.627700000000023e-07,1e-09,5.1e-10,3.637700000000023e-07,3.660700000000023e-07,3.6277e-07,3.6377e-07,9.999999999999692e-10,0.7999997228,0.8006974247,1,1,3.645724931e-07,3.651952019e-07,3.653229313e-07,622.7088000000048,127.7293999999894,750.4381999999943,784.47570000001,34.03750000001571,3.637700000000023e-07,3.6627000000000234e-07,False,1,
E18,predecessor,pred9_arm_1p0ns_pad_0p51ns_pre,9,9,0,3.761400000000025e-07,4.9e-10,0.0,3.7663000000000255e-07,3.7893000000000256e-07,3.7614e-07,3.7663e-07,4.900000000000262e-10,1.652418192e-07,0.0003491575288,0,0,3.774319395e-07,3.781212443e-07,3.782489136e-07,689.3048000000182,127.66929999996196,816.9740999999801,785.3451999999877,-31.628899999992427,3.7663000000000255e-07,3.791300000000026e-07,False,1,
E18,target,pred9_arm_1p0ns_pad_0p51ns,9,8,0,3.8435000000000256e-07,1e-09,5.1e-10,3.853500000000026e-07,3.876500000000026e-07,3.8435e-07,3.8535e-07,9.999999999999692e-10,-0.0003641079017,0.8007168595,0,1,3.861523073e-07,3.867755345e-07,3.86903278e-07,623.2271999999583,127.74350000000878,750.9706999999671,784.2548999999925,33.28420000002541,3.853500000000026e-07,3.878500000000026e-07,False,1,q_read_unstable
E19,predecessor,pred7_arm_1p0ns_pad_0p51ns_pre,7,7,0,3.977000000000028e-07,4.9e-10,0.0,3.981900000000028e-07,4.004900000000028e-07,3.977e-07,3.9819e-07,4.899999999999733e-10,0.8000043147,0.8003288777,1,1,3.989919009e-07,3.995477396e-07,3.99675683e-07,555.8386999999818,127.94340000002452,683.7821000000064,784.9511000000192,101.16900000001283,3.981900000000028e-07,4.0069000000000283e-07,False,1,
E19,target,pred7_arm_1p0ns_pad_0p51ns,7,8,0,4.059100000000028e-07,1e-09,5.1e-10,4.0691000000000284e-07,4.0921000000000285e-07,4.0591e-07,4.0691e-07,9.999999999999692e-10,0.7999999748,0.8004434752,1,1,4.077123813e-07,4.083353735e-07,4.08463179e-07,622.9922000000058,127.80549999996899,750.7976999999748,785.173199999999,34.3755000000242,4.0691000000000284e-07,4.0941000000000287e-07,False,1,
E20,predecessor,pred9_arm_0p48999999999999994ns_pad_0p51ns_pre,9,9,0,4.1928000000000305e-07,4.9e-10,0.0,4.197700000000031e-07,4.220700000000031e-07,4.1928e-07,4.1977e-07,4.900000000000262e-10,1.663945088e-07,0.0003959092739,0,0,4.205722497e-07,4.212619691e-07,4.213899489e-07,689.719400000008,127.97979999997658,817.6991999999847,784.5549999999906,-33.14419999999404,4.197700000000031e-07,4.222700000000031e-07,False,1,
E20,target,pred9_arm_0p48999999999999994ns_pad_0p51ns,9,8,0,4.274900000000031e-07,4.9e-10,5.1e-10,4.279800000000031e-07,4.3028000000000314e-07,4.2749e-07,4.2798e-07,4.899999999999733e-10,-0.0001310159304,0.001670301269,0,0,4.287823004e-07,4.2940534e-07,4.295330637e-07,623.0395999999978,127.72369999997932,750.7632999999771,784.1254999999678,33.36219999999071,4.279800000000031e-07,4.3048000000000315e-07,False,1,
