dataset_code,seed,polarity,m_ff,m_ref,margin,arch0,sign0_off,sign0_18,sign0_19,abs_term_18,signed_term_18,signed_term_19
3,41014,0,225,182,22,1,1,1,1,1,1,1
4,41014,0,245,182,22,1,1,1,1,1,1,1
5,41014,0,225,182,22,1,1,1,1,1,1,1
0,41015,0,204,204,0,0,0,0,0,0,0,0
0,41015,0,204,204,0,0,0,0,0,0,0,0
0,41015,0,204,204,0,0,0,0,0,0,0,0
0,41015,0,204,204,0,0,0,0,0,0,0,0
0,41015,1,159,159,0,0,0,0,0,0,0,0
0,41015,1,159,159,0,0,0,0,0,0,0,0
0,41015,1,159,159,0,0,0,0,0,0,0,0
0,41015,1,159,159,0,0,0,0,0,0,0,0
1,41015,0,204,204,22,0,0,0,0,0,0,0
1,41015,1,159,159,24,0,0,0,0,0,0,0
1,41015,0,204,204,22,0,0,0,0,0,0,0
1,41015,1,159,159,24,0,0,0,0,0,0,0
1,41015,0,204,204,22,0,0,0,0,0,0,0
1,41015,1,159,159,24,0,0,0,0,0,0,0
1,41015,0,204,204,22,0,0,0,0,0,0,0
1,41015,1,159,159,24,0,0,0,0,0,0,0
2,41015,0,204,204,22,0,0,0,0,0,0,0
2,41015,0,204,204,22,0,0,0,0,0,0,0
2,41015,0,204,204,22,0,0,0,0,0,0,0
2,41015,0,204,204,22,0,0,0,0,0,0,0
2,41015,0,204,204,22,0,0,0,0,0,0,0
2,41015,0,204,204,22,0,0,0,0,0,0,0
2,41015,0,204,204,22,0,0,0,0,0,0,0
2,41015,0,204,204,22,0,0,0,0,0,0,0
2,41015,0,204,204,22,0,0,0,0,0,0,0
2,41015,0,204,204,22,0,0,0,0,0,0,0
2,41015,0,204,204,22,0,0,0,0,0,0,0
2,41015,0,204,204,22,0,0,0,0,0,0,0
3,41015,0,225,204,22,0,0,1,1,0,1,1
4,41015,0,264,204,22,1,1,1,1,1,1,1
5,41015,0,225,204,22,0,0,1,1,0,1,1
0,41016,0,182,182,0,0,0,0,0,0,0,0
0,41016,0,182,182,0,0,0,0,0,0,0,0
0,41016,0,182,182,0,0,0,0,0,0,0,0
0,41016,0,182,182,0,0,0,0,0,0,0,0
0,41016,1,159,159,0,0,0,0,0,0,0,0
0,41016,1,159,159,0,0,0,0,0,0,0,0
0,41016,1,159,159,0,0,0,0,0,0,0,0
0,41016,1,159,159,0,0,0,0,0,0,0,0
1,41016,0,182,182,22,0,0,0,0,0,0,0
1,41016,1,159,159,24,0,0,0,0,0,0,0
1,41016,0,182,182,22,0,0,0,0,0,0,0
1,41016,1,159,159,24,0,0,0,0,0,0,0
1,41016,0,182,182,22,0,0,0,0,0,0,0
1,41016,1,159,159,24,0,0,0,0,0,0,0
1,41016,0,182,182,22,0,0,0,0,0,0,0
1,41016,1,159,159,24,0,0,0,0,0,0,0
2,41016,0,182,182,22,0,0,0,0,0,0,0
2,41016,0,182,182,22,0,0,0,0,0,0,0
2,41016,0,182,182,22,0,0,0,0,0,0,0
2,41016,0,182,182,22,0,0,0,0,0,0,0
2,41016,0,182,182,22,0,0,0,0,0,0,0
2,41016,0,182,182,22,0,0,0,0,0,0,0
2,41016,0,182,182,22,0,0,0,0,0,0,0
2,41016,0,182,182,22,0,0,0,0,0,0,0
2,41016,0,182,182,22,0,0,0,0,0,0,0
2,41016,0,182,182,22,0,0,0,0,0,0,0
2,41016,0,182,182,22,0,0,0,0,0,0,0
2,41016,0,182,182,22,0,0,0,0,0,0,0
3,41016,0,204,182,22,0,0,1,1,0,1,1
4,41016,0,245,182,22,1,1,1,1,1,1,1
5,41016,0,204,182,22,0,0,1,1,0,1,1
0,41017,0,204,198,0,0,0,0,0,0,0,0
