T_POS,rule,healthy_rise_samples,healthy_positive_false_alarms,healthy_positive_false_alarm_rate,D01_samples,D01_detected,D01_coverage,D02_samples,D02_detected,D02_coverage,diagnostic_only,formal_margin_unchanged
175,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
176,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
177,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
178,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
179,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
180,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
181,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
182,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
183,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
184,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
185,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
186,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
187,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
188,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
189,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
190,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
191,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
192,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
193,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
194,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
195,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
196,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
197,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
198,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
199,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
200,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
201,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
202,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
203,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
204,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
205,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
206,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
207,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
208,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
209,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
210,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
211,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
212,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
213,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
214,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
215,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
216,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
217,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
218,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
219,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
220,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
221,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
222,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
223,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
224,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
225,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
226,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
227,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
228,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
229,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
230,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
231,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
232,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
233,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
234,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
235,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
236,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
237,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
238,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
239,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
