dataset,seed,event_index,event,M_FF,M_REF_RISE,signed_e,abs_e,q_ff,existing_abs_margin_alarm,diagnostic_signed_T18_alarm
healthy_rise,41014,8,86.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41014,10,106.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41014,12,126.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41014,14,146.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41014,16,171.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41014,18,191.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41014,20,211.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41014,22,231.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41015,0,1.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41015,2,21.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41015,4,41.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41015,6,61.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41015,8,86.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41015,10,106.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41015,12,126.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41015,14,146.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41015,16,171.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41015,18,191.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41015,20,211.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41015,22,231.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41016,0,1.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41016,2,21.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41016,4,41.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41016,6,61.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41016,8,86.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41016,10,106.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41016,12,126.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41016,14,146.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41016,16,171.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41016,18,191.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41016,20,211.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41016,22,231.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41017,0,1.0 ns RISE,204,198,6,6,000000000000000000000011111111,0,0
healthy_rise,41017,2,21.0 ns RISE,204,198,6,6,000000000000000000000011111111,0,0
healthy_rise,41017,4,41.0 ns RISE,204,198,6,6,000000000000000000000011111111,0,0
healthy_rise,41017,6,61.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
healthy_rise,41017,8,86.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
healthy_rise,41017,10,106.0 ns RISE,204,198,6,6,000000000000000000000011111111,0,0
healthy_rise,41017,12,126.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
