seed,segment,event_index,polarity,M_FF,M_REF,D_M,margin,healthy_alarm
41026,FPR,21,FALL,135,153,18,24,0
41026,FPR,22,RISE,159,164,5,22,0
41026,FPR,23,FALL,159,153,6,24,0
41027,FPR,16,RISE,135,153,18,22,0
41027,FPR,17,FALL,135,135,0,24,0
41027,FPR,18,RISE,135,153,18,22,0
41027,FPR,19,FALL,135,135,0,24,0
41027,FPR,20,RISE,135,153,18,22,0
41027,FPR,21,FALL,135,135,0,24,0
41027,FPR,22,RISE,159,153,6,22,0
41027,FPR,23,FALL,135,135,0,24,0
41028,FPR,16,RISE,204,204,0,22,0
41028,FPR,17,FALL,182,176,6,24,0
41028,FPR,18,RISE,204,204,0,22,0
41028,FPR,19,FALL,182,176,6,24,0
41028,FPR,20,RISE,204,204,0,22,0
41028,FPR,21,FALL,159,176,17,24,0
41028,FPR,22,RISE,204,204,0,22,0
41028,FPR,23,FALL,182,176,6,24,0
41029,FPR,16,RISE,159,159,0,22,0
41029,FPR,17,FALL,159,153,6,24,0
41029,FPR,18,RISE,159,159,0,22,0
41029,FPR,19,FALL,159,153,6,24,0
41029,FPR,20,RISE,159,159,0,22,0
41029,FPR,21,FALL,135,153,18,24,0
41029,FPR,22,RISE,159,159,0,22,0
41029,FPR,23,FALL,159,153,6,24,0
41030,FPR,16,RISE,182,198,16,22,0
41030,FPR,17,FALL,182,182,0,24,0
41030,FPR,18,RISE,182,198,16,22,0
41030,FPR,19,FALL,182,182,0,24,0
41030,FPR,20,RISE,182,198,16,22,0
41030,FPR,21,FALL,182,182,0,24,0
41030,FPR,22,RISE,204,198,6,22,0
41030,FPR,23,FALL,182,182,0,24,0
